			GMRT Grid Version 3.4
Longitude	Latitude	Distance (km)	Elevation (m)
-159.67508	52.93724	85.807045	-4714.099
-159.6778	52.9425	86.41995	-4715.8325
-159.68053	52.947765	87.03286	-4717.9946
-159.68326	52.953026	87.64577	-4720.9043
-159.68597	52.958286	88.258675	-4723.7563
-159.6887	52.96355	88.87158	-4727.469
-159.69144	52.96881	89.48449	-4732.096
-159.69417	52.97407	90.0974	-4736.32
-159.6969	52.979332	90.710304	-4741.57
-159.69963	52.984592	91.32321	-4746.68
-159.70236	52.989857	91.93612	-4752.838
-159.7051	52.995117	92.54903	-4757.68
-159.70782	53.000378	93.161934	-4761.783
-159.71056	53.00564	93.77484	-4764.6514
-159.71329	53.0109	94.38775	-4766.1323
-159.71602	53.01616	95.000656	-4766.0996
-159.71875	53.02142	95.61356	-4764.2256
-159.7215	53.02668	96.22647	-4762.119
-159.72423	53.03194	96.83938	-4771.7666
-159.72696	53.0372	97.452286	-4772.6694
-159.7297	53.04246	98.06519	-4772.417
-159.73244	53.04772	98.6781	-4770.7695
-159.73518	53.052982	99.29101	-4770.3545
-159.73792	53.058243	99.903915	-4771.78
-159.74066	53.063503	100.51682	-4779.2183
-159.7434	53.068764	101.12973	-4783.706
-159.74614	53.074024	101.74264	-4783.8447
-159.74889	53.079285	102.355545	-4786.2993
-159.75163	53.084545	102.96845	-4790.8457
-159.75436	53.089806	103.58136	-4798.525
-159.75711	53.095066	104.19427	-4804.8438
-159.75986	53.100323	104.807175	-4805.7866
-159.7626	53.105583	105.42008	-4811.609
-159.76535	53.110844	106.03299	-4813.7393
-159.7681	53.116104	106.6459	-4812.59
-159.77084	53.121365	107.258804	-4810.2246
-159.77359	53.12662	107.87171	-4824.17
-159.77634	53.13188	108.48462	-4827.925
-159.7791	53.137142	109.09753	-4834.4
-159.78185	53.142403	109.710434	-4841.643
-159.78459	53.14766	110.32334	-4850.1426
-159.78735	53.15292	110.93625	-4857.8354
-159.7901	53.158176	111.54916	-4865.077
-159.79285	53.163437	112.16206	-4871.6567
-159.79561	53.168697	112.77497	-4878.0645
-159.79836	53.173954	113.38788	-4882.0757
-159.80112	53.179214	114.000786	-4885.396
-159.80386	53.18447	114.61369	-4889.6475
-159.80663	53.18973	115.2266	-4892.87
-159.80939	53.194992	115.83951	-4896.187
-159.81213	53.20025	116.452415	-4899.467
-159.8149	53.20551	117.06532	-4903.1406
-159.81766	53.210766	117.67823	-4909.6943
-159.82042	53.216026	118.29114	-4916.938
-159.82318	53.221283	118.904045	-4924.2617
-159.82594	53.22654	119.51695	-4931.2227
-159.8287	53.2318	120.12986	-4938.6616
-159.83147	53.237057	120.74277	-4946.354
-159.83423	53.242317	121.355675	-4953.49
-159.83699	53.247574	121.96858	-4966.718
-159.83975	53.25283	122.58149	-5020.777
-159.84251	53.25809	123.1944	-5036.8516
-159.84529	53.263348	123.807304	-5042.778
-159.84805	53.268604	124.42021	-5065.207
-159.85081	53.273865	125.03312	-5091.0137
-159.85359	53.27912	125.64603	-5101.489
-159.85635	53.284378	126.258934	-5105.3213
-159.85913	53.289635	126.87184	-5121.989
-159.8619	53.29489	127.48475	-5138.2705
-159.86467	53.30015	128.09766	-5151.248
-159.86743	53.30541	128.71057	-5155.306
-159.87021	53.310665	129.32349	-5156.863
-159.87299	53.31592	129.9364	-5173.7144
-159.87576	53.32118	130.54932	-5190.3853
-159.87852	53.326435	131.16223	-5191.239
-159.8813	53.33169	131.77515	-5192.2646
-159.88408	53.336952	132.38806	-5213.4756
-159.88686	53.34221	133.00098	-5194.431
-159.88963	53.347466	133.61389	-5199.093
-159.89241	53.352722	134.2268	-5219.3447
-159.89519	53.35798	134.83972	-5240.376
-159.89796	53.363235	135.45264	-5251.9805
-159.90074	53.368492	136.06555	-5249.6904
-159.90353	53.37375	136.67847	-5246.5366
-159.90631	53.379005	137.29138	-5250.9854
-159.90909	53.38426	137.9043	-5292.0405
-159.91188	53.389515	138.51721	-5349.3525
-159.91466	53.39477	139.13013	-5405.993
-159.91743	53.40003	139.74304	-5458.2666
-159.92023	53.405285	140.35596	-5506.136
-159.923	53.41054	140.96887	-5547.4194
-159.9258	53.4158	141.58179	-5581.329
-159.92859	53.42105	142.1947	-5610.3496
-159.93137	53.426308	142.80762	-5637.972
-159.93416	53.431564	143.42053	-5668.005
-159.93695	53.43682	144.03345	-5701.4697
-159.93973	53.442078	144.64636	-5733.8823
-159.94252	53.44733	145.25928	-5764.1934
-159.94531	53.452587	145.8722	-5791.4707
-159.9481	53.457844	146.4851	-5815.499
-159.9509	53.463097	147.09802	-5834.782
-159.95369	53.468353	147.71094	-5851.5513
-159.95648	53.47361	148.32385	-5864.683
-159.95927	53.478863	148.93677	-5875.6006
-159.96207	53.48412	149.54968	-5882.903
-159.96487	53.489372	150.1626	-5891.172
-159.96767	53.49463	150.77551	-5905.768
-159.97046	53.499886	151.38843	-5935.0806
-159.97325	53.50514	152.00134	-5973.9663
-159.97606	53.510395	152.61426	-6006.144
-159.97885	53.515648	153.22717	-6037.323
-159.98166	53.520905	153.84009	-6074.0903
-159.98445	53.526157	154.453	-6119.382
-159.98726	53.53141	155.06592	-6166.021
-159.99005	53.536667	155.67883	-6211.936
-159.99286	53.54192	156.29175	-6257.6255
-159.99567	53.547176	156.90466	-6298.1875
-159.99847	53.55243	157.51758	-6331.5786
-160.00127	53.557682	158.1305	-6359.9253
-160.00407	53.56294	158.74341	-6380.513
-160.00688	53.56819	159.35632	-6387.7427
-160.00969	53.573444	159.96924	-6374.703
